file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,0.0378,0.0004,0.1847,0.0003,0.6076,0.0268,0.1423,sad,0.9825,0.0001,0.0001,0.0001,0.0027,0.0001,0.0145,angry
angry\angry_0055.jpg,angry,0.0627,0.0053,0.653,0.001,0.1238,0.1302,0.024,fear,0.7618,0.1992,0.0039,0.0063,0.0048,0.0035,0.0205,angry
angry\angry_0058.jpg,angry,0.3163,0.0616,0.4064,0.0026,0.0877,0.0962,0.0293,fear,0.3694,0.6248,0.0013,0.002,0.0005,0.0004,0.0016,disgust
angry\angry_0072.jpg,angry,0.3616,0.4891,0.0585,0.0003,0.0846,0.002,0.004,disgust,0.9748,0.0248,0.0,0.0,0.0003,0.0,0.0001,angry
angry\angry_0082.jpg,angry,0.115,0.0054,0.5977,0.0018,0.1063,0.0347,0.1391,fear,0.4215,0.0007,0.0031,0.011,0.0102,0.1353,0.4181,angry
angry\angry_0090.jpg,angry,0.2099,0.0004,0.4553,0.0002,0.3164,0.0017,0.016,fear,0.9954,0.0,0.0014,0.0005,0.0002,0.0007,0.0018,angry
angry\angry_0107.jpg,angry,0.209,0.2418,0.52,0.0026,0.0068,0.0176,0.0023,fear,0.9936,0.0031,0.0026,0.0001,0.0,0.0004,0.0,angry
angry\angry_0120.jpg,angry,0.1286,0.0007,0.0083,0.0036,0.252,0.2354,0.3715,neutral,0.6738,0.0001,0.0003,0.0033,0.0135,0.0111,0.2979,angry
angry\angry_0137.jpg,angry,0.001,0.0068,0.7843,0.0,0.146,0.0589,0.0031,fear,0.9533,0.0036,0.002,0.0005,0.0066,0.0077,0.0262,angry
angry\angry_0156.jpg,angry,0.1659,0.1989,0.5171,0.001,0.0164,0.0969,0.0038,fear,0.923,0.0119,0.059,0.0005,0.0007,0.0046,0.0003,angry
angry\angry_0200.jpg,angry,0.0146,0.0004,0.9784,0.0,0.0024,0.0041,0.0001,fear,0.9529,0.0001,0.044,0.0002,0.0001,0.0027,0.0,angry
angry\angry_0201.jpg,angry,0.5375,0.0004,0.0153,0.0007,0.335,0.0039,0.1072,angry,0.8516,0.0001,0.0004,0.0002,0.0835,0.0006,0.0636,angry
angry\angry_0212.jpg,angry,0.0084,0.0008,0.8138,0.0002,0.1455,0.0145,0.0168,fear,0.7247,0.0001,0.0071,0.0001,0.1596,0.0013,0.107,angry
angry\angry_0224.jpg,angry,0.0077,0.0014,0.8497,0.0005,0.0473,0.0892,0.0041,fear,,,,,,,,
angry\angry_0228.jpg,angry,0.0198,0.0012,0.0175,0.0008,0.6195,0.026,0.3152,sad,0.3883,0.0194,0.0005,0.0117,0.0165,0.0162,0.5475,neutral
angry\angry_0232.jpg,angry,0.6643,0.0257,0.0734,0.0039,0.0505,0.1262,0.056,angry,0.9338,0.0204,0.0013,0.0034,0.0046,0.0087,0.0279,angry
angry\angry_0287.jpg,angry,0.0467,0.0201,0.878,0.0005,0.0267,0.0261,0.002,fear,0.9994,0.0003,0.0002,0.0001,0.0,0.0001,0.0,angry
angry\angry_0308.jpg,angry,0.0383,0.0039,0.8082,0.0001,0.0937,0.044,0.0118,fear,0.9794,0.0057,0.0061,0.0001,0.003,0.004,0.0017,angry
angry\angry_0361.jpg,angry,0.0451,0.0002,0.1617,0.0025,0.453,0.2062,0.1311,sad,0.5448,0.0002,0.0004,0.0006,0.1273,0.005,0.3217,angry
angry\angry_0367.jpg,angry,0.0109,0.001,0.7943,0.0002,0.1263,0.032,0.0352,fear,0.9275,0.0001,0.0025,0.0001,0.0116,0.0008,0.0573,angry
angry\angry_0377.jpg,angry,0.0165,0.0004,0.1272,0.0,0.7635,0.0323,0.0601,sad,0.3421,0.3809,0.0065,0.0008,0.2474,0.0003,0.0219,disgust
angry\angry_0391.jpg,angry,0.366,0.0374,0.0029,0.0001,0.5521,0.0073,0.0342,sad,0.9711,0.0262,0.0002,0.0,0.0019,0.0,0.0006,angry
angry\angry_0446.jpg,angry,0.0538,0.0012,0.2769,0.0016,0.3386,0.2506,0.0773,sad,0.501,0.0142,0.0095,0.0158,0.1099,0.1349,0.2148,angry
angry\angry_0452.jpg,angry,0.3593,0.0002,0.0672,0.0004,0.3795,0.0028,0.1906,sad,0.9144,0.0,0.0001,0.0002,0.0189,0.0,0.0665,angry
angry\angry_0485.jpg,angry,0.2819,0.007,0.199,0.0008,0.4049,0.0247,0.0817,sad,,,,,,,,
angry\angry_0494.jpg,angry,0.0882,0.001,0.8173,0.0004,0.0321,0.0549,0.0061,fear,0.9578,0.0063,0.0237,0.0005,0.0008,0.0104,0.0004,angry
angry\angry_0518.jpg,angry,0.0012,0.0019,0.8209,0.0,0.1239,0.0497,0.0024,fear,0.9912,0.0005,0.0019,0.0002,0.0004,0.0057,0.0001,angry
angry\angry_0531.jpg,angry,0.005,0.0005,0.985,0.0001,0.0029,0.0053,0.0012,fear,0.281,0.0024,0.7116,0.0011,0.0004,0.0034,0.0001,fear
