file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,15.6463,0.0,0.8284,0.0267,14.7865,0.0019,68.7103,neutral,92.7547,0.0,0.0068,0.18,0.9654,0.0002,6.0928,angry
angry\angry_0042.jpg,angry,75.0894,0.0,0.0146,0.0185,0.7313,0.0016,24.1446,angry,0.0093,0.0,0.0007,0.2439,0.0052,0.0,99.7409,neutral
angry\angry_0055.jpg,angry,90.8054,0.0271,0.6795,0.7128,4.2509,0.6624,2.8619,angry,99.9998,0.0,0.0001,0.0,0.0,0.0,0.0,angry
angry\angry_0058.jpg,angry,31.055,0.006,12.0435,0.0312,0.6276,50.464,5.7727,surprise,36.4949,0.0,0.0055,51.1156,0.0012,0.0132,12.3696,happy
angry\angry_0072.jpg,angry,69.1268,0.1797,1.4616,0.2873,6.6335,0.9176,21.3934,angry,35.2635,0.0,0.0026,64.7167,0.006,0.002,0.0092,happy
angry\angry_0082.jpg,angry,99.9223,0.0018,0.0754,0.0,0.0004,0.0,0.0,angry,6.6289,0.0,0.3006,0.2617,1.5249,0.2903,90.9937,neutral
angry\angry_0090.jpg,angry,24.0,0.0,0.0003,0.0,0.0005,0.0,75.9992,neutral,89.6657,0.0,0.0459,0.0223,1.6359,0.0003,8.6299,angry
angry\angry_0093.jpg,angry,29.6308,0.0,0.0406,0.0029,7.3399,0.0033,62.9824,neutral,23.7625,0.0,0.045,0.0001,3.0058,0.0395,73.1472,neutral
angry\angry_0120.jpg,angry,11.921,2.8039,10.7794,1.72,2.4542,3.3813,66.9401,neutral,42.0932,0.0776,30.1304,0.7459,12.2257,0.1187,14.6085,angry
angry\angry_0152.jpg,angry,0.106,67.2364,7.5552,1.6752,23.1029,0.0006,0.3236,disgust,0.5127,5.6067,4.4041,33.1195,10.1246,2.4762,43.7562,neutral
angry\angry_0156.jpg,angry,6.959,0.0002,17.6897,0.0414,33.9567,2.1076,39.2454,neutral,4.1916,0.0002,4.1046,0.0137,3.2439,0.4019,88.0441,neutral
angry\angry_0158.jpg,angry,6.7344,0.0003,38.936,0.0002,21.3537,0.0004,32.975,fear,30.8894,0.0013,1.1736,0.9413,10.8497,0.078,56.0666,neutral
angry\angry_0191.jpg,angry,0.4302,0.0,0.3209,0.0042,7.1474,0.0003,92.097,neutral,0.4353,0.003,2.8861,2.2705,13.4854,0.0083,80.9114,neutral
angry\angry_0200.jpg,angry,4.8442,0.0338,24.3237,0.0218,42.2015,0.6343,27.9406,sad,1.4683,0.0008,26.3297,1.0633,2.2291,68.6091,0.2996,surprise
