file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,0.1576,0.0005,0.0339,0.0023,0.0956,0.0261,0.684,neutral,0.9538,0.0049,0.0014,0.0023,0.0095,0.0012,0.0269,angry
angry\angry_0042.jpg,angry,0.8471,0.0001,0.0084,0.0014,0.0639,0.0025,0.0766,angry,0.997,0.0001,0.0,0.0002,0.0014,0.0,0.0012,angry
angry\angry_0055.jpg,angry,0.5177,0.0117,0.0796,0.0092,0.0148,0.1096,0.2574,angry,0.9423,0.0282,0.0167,0.0015,0.0032,0.0028,0.0052,angry
angry\angry_0058.jpg,angry,0.1519,0.0815,0.3577,0.0016,0.0243,0.145,0.2381,fear,0.5327,0.4351,0.0059,0.0026,0.0066,0.0069,0.0103,angry
angry\angry_0072.jpg,angry,0.9345,0.0639,0.0001,0.0001,0.0009,0.0002,0.0004,angry,0.9751,0.0246,0.0,0.0001,0.0001,0.0,0.0,angry
angry\angry_0082.jpg,angry,0.121,0.0002,0.0052,0.0034,0.0336,0.2281,0.6085,neutral,0.2468,0.0002,0.0019,0.0044,0.0119,0.1681,0.5667,neutral
angry\angry_0090.jpg,angry,0.9944,0.0,0.0001,0.0,0.0012,0.0,0.0043,angry,0.9993,0.0,0.0,0.0,0.0,0.0,0.0006,angry
angry\angry_0093.jpg,angry,0.986,0.0002,0.0002,0.0,0.0101,0.0,0.0034,angry,0.7116,0.0016,0.0005,0.0011,0.265,0.0005,0.0197,angry
angry\angry_0120.jpg,angry,0.0316,0.0,0.0008,0.0038,0.0879,0.1177,0.7581,neutral,0.8959,0.0013,0.0009,0.0156,0.0249,0.0053,0.0561,angry
angry\angry_0152.jpg,angry,0.0345,0.0003,0.0094,0.0857,0.4795,0.0127,0.3779,sad,0.1183,0.014,0.0021,0.1461,0.3837,0.0101,0.3257,sad
angry\angry_0156.jpg,angry,0.0773,0.0038,0.6337,0.0007,0.0049,0.2702,0.0093,fear,0.059,0.0205,0.7531,0.0004,0.0258,0.13,0.0111,fear
angry\angry_0158.jpg,angry,0.5685,0.0001,0.0056,0.0001,0.384,0.0013,0.0404,angry,0.4774,0.0001,0.005,0.0001,0.4793,0.0013,0.0367,sad
angry\angry_0191.jpg,angry,0.2304,0.0016,0.6559,0.0002,0.0173,0.0343,0.0604,fear,0.5891,0.1244,0.2359,0.0003,0.0067,0.007,0.0366,angry
angry\angry_0200.jpg,angry,0.0063,0.0022,0.219,0.0042,0.4242,0.2952,0.0489,sad,0.4013,0.067,0.0828,0.0082,0.0582,0.3465,0.0361,angry
angry\angry_0201.jpg,angry,0.8727,0.0,0.0005,0.0001,0.1122,0.0001,0.0144,angry,0.8978,0.0004,0.0003,0.0004,0.091,0.0002,0.0098,angry
angry\angry_0212.jpg,angry,0.0738,0.0023,0.5799,0.005,0.2309,0.0452,0.063,fear,0.3529,0.0267,0.0613,0.0011,0.5431,0.0034,0.0115,sad
angry\angry_0224.jpg,angry,0.8299,0.036,0.0027,0.0027,0.0182,0.0082,0.1023,angry,0.9969,0.0006,0.0,0.0003,0.0002,0.0001,0.0018,angry
angry\angry_0228.jpg,angry,0.1867,0.0008,0.009,0.026,0.0775,0.0323,0.6677,neutral,0.4881,0.1811,0.0063,0.0204,0.052,0.0778,0.1743,angry
angry\angry_0232.jpg,angry,0.0295,0.0005,0.0165,0.0474,0.0596,0.3714,0.4753,neutral,0.4534,0.0147,0.0007,0.2029,0.0045,0.1504,0.1736,angry
