file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0042.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry
angry\angry_0055.jpg,angry,1.0,1.0,0.0,0.0,0.0,0.0,0.0,angry,0.0,1.0,0.0,0.0,0.0,0.0,0.0,disgust
angry\angry_0058.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
angry\angry_0072.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy
angry\angry_0082.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
angry\angry_0090.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1.0,1.0,0.0,0.0,0.0,0.0,1.0,angry
angry\angry_0093.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy
angry\angry_0120.jpg,angry,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear,0.0,0.0,0.0,0.0,1.0,0.0,0.0,sad
angry\angry_0152.jpg,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
angry\angry_0156.jpg,angry,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear,0.0,0.0,0.0,0.0,1.0,1.0,1.0,sad
angry\angry_0158.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0191.jpg,angry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
angry\angry_0200.jpg,angry,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear,0.0,0.0,0.0,1.0,1.0,0.0,0.0,happy
angry\angry_0201.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
angry\angry_0212.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
